title,genres_clean,companies_names,director
guardian angel,"Action, Thriller, Drama",no register,Richard W. Munchkin
mighty aphrodite,"Comedy, Romance","Miramax Films, Magnolia Pictures",Woody Allen
lamerica,"Drama, Foreign",no register,Gianni Amelio
the big green,"Action, Adventure, Comedy, Family","Walt Disney Pictures, Caravan Pictures",Holly Goldberg Sloan
georgia,Drama,"Miramax Films, CiBy 2000",Ulu Grosbard
kids of the round table,no register,"Telefilm Canada, Melenny Productions",Robert Tinnell
home for the holidays,"Comedy, Drama, Romance","Paramount Pictures, Egg Pictures, PolyGram Filmed Entertainment",Jodie Foster
the postman,"Comedy, Drama, Romance",no register,Michael Radford
the confessional,"Thriller, Drama, Mystery",no register,Robert Lepage
the indian in the cupboard,"Adventure, Family, Fantasy","Paramount Pictures, Columbia Pictures Corporation, The Kennedy/Marshall Company",Frank Oz
eye for an eye,"Drama, Thriller",Paramount Pictures,John Schlesinger
mr. holland's opus,"Music, Drama, Family","Hollywood Pictures, The Charlie Mopic Company, PolyGram Filmed Entertainment, Interscope Communications",Stephen Herek
don't be a menace to south central while drinking your juice in the hood,Comedy,"Miramax Films, Island Pictures, Ivory Way Productions",Paris Barclay
two if by sea,"Comedy, Romance","Warner Bros., Morgan Creek Productions",Bill Bennett
bio-dome,Comedy,"Metro-Goldwyn-Mayer (MGM), Motion Picture Corporation of America (MPCA), 3 Arts Entertainment, Weasel Productions",Jason Bloom
lawnmower man 2: beyond cyberspace,"Action, Science Fiction",New Line Cinema,Farhad Mann
two bits,"Drama, Family",Miramax Films,James Foley
french twist,"Comedy, Romance","Renn Productions, Les Films Flam, TF1 Films Production, Canal+",Josiane Balasko
friday,Comedy,New Line Cinema,F. Gary Gray
from dusk till dawn,"Horror, Action, Thriller, Crime","A Band Apart, Dimension Films, Los Hooligans Productions, Miramax",Robert Rodriguez
fair game,"Action, Thriller, Romance","Silver Pictures, Warner Bros.",Andrew Sipes
kicking and screaming,"Comedy, Drama, Romance","Castleberg Productions, Sandollar Productions",Noah Baumbach
les miserables,"Drama, History","Les Films 13, Canal+, TF1",Claude Lelouch
bed of roses,"Drama, Romance","New Line Cinema, Juno Pix",Michael Goldenberg
big bully,"Comedy, Family","Warner Bros., Morgan Creek Productions",Steve Miner
screamers,"Horror, Science Fiction","The Movie Network (TMN), Allegro Films, Fuji Eight Company Ltd., Fries Film Group, Super Ecran, Triumph Films",Christian Duguay
nico icon,Documentary,"Zweites Deutsches Fernsehen (ZDF), Ciak Filmproduktion, Bluehorse Films",Susanne Ofteringer
the crossing guard,"Drama, Thriller",Miramax Films,Sean Penn
the juror,"Drama, Thriller",Columbia Pictures Corporation,Brian Gibson
the white balloon,"Family, Drama","I.R.I.B. Channel 2, Ferdos Films",Jafar Panahi
things to do in denver when you're dead,"Drama, Crime",Miramax Films,Gary Fleder
antonia's line,"Drama, Comedy","Bergen Film, Bard Entertainments, NPS Televisie",Marleen Gorris
once upon a time... when we were colored,"Romance, Drama","BET Pictures, United Image Entertainme",Tim Reid
last summer in the hamptons,no register,no register,Henry Jaglom
angels and insects,"Drama, Romance","Playhouse International Pictures, The Samuel Goldwyn Company",Philip Haas
white squall,"Action, Drama","Hollywood Pictures, Largo Entertainment, Scott Free Productions",Ridley Scott
dunston checks in,"Adventure, Comedy, Family","Twentieth Century Fox Film Corporation, Joe Wizan/Todd Black",Ken Kwapis
black sheep,Comedy,Paramount Pictures,Penelope Spheeris
nick of time,"Crime, Drama, Thriller",Paramount Pictures,John Badham
the journey of august king,Drama,"Miramax Films, Addis Wechsler Pictures",John Duigan
mary reilly,"Drama, Horror, Thriller, Romance","TriStar Pictures, NFH Productions",Stephen Frears
vampire in brooklyn,"Comedy, Horror, Romance",Paramount Pictures,Wes Craven
beautiful girls,"Comedy, Drama, Romance","Miramax Films, Woods Entertainment",Ted Demme
broken arrow,"Action, Adventure, Drama, Thriller","Twentieth Century Fox Film Corporation, WCG Entertainment Productions, Mark Gordon Productions",John Woo
a midwinter's tale,Comedy,"Castle Rock Entertainment, Midwinter Films",Kenneth Branagh
la haine,Drama,"Egg Pictures, PolyGram Filmed Entertainment, Canal+, Les Productions Lazennec, La Sept Cinéma, Kasso Inc. Productions, Studio Image, Cofinergie 6",Mathieu Kassovitz
shopping,"Action, Adventure, Drama, Science Fiction, Thriller",Channel Four Films,Paul W.S. Anderson
heidi fleiss: hollywood madam,Documentary,"British Broadcasting Corporation (BBC), Westdeutscher Rundfunk (WDR), Canadian Broadcasting Corporation (CBC), Cinemax Reel Life, InPictures, Lafayette Films",Nick Broomfield
city hall,"Drama, Thriller","Columbia Pictures, Castle Rock Entertainment",Harold Becker
bottle rocket,"Comedy, Crime, Drama","Gracie Films, Columbia Pictures Corporation",Wes Anderson
mr. wrong,"Comedy, Romance",Touchstone Pictures,Nick Castle
unforgettable,"Drama, Mystery, Science Fiction, Thriller","Metro-Goldwyn-Mayer (MGM), Dino De Laurentiis Company, Spelling Films",John Dahl
happy gilmore,Comedy,"Universal Pictures, Brillstein-Grey Entertainment, Robert Simonds Productions",Dennis Dugan
the bridges of madison county,"Drama, Romance","Amblin Entertainment, Malpaso Productions, Warner Bros.",Clint Eastwood
nobody loves me,"Drama, Comedy, Family",no register,Doris Dörrie
muppet treasure island,"Action, Comedy, Music, Family, Adventure","Walt Disney Pictures, Jim Henson Productions, Jim Henson Company, The",Brian Henson
catwalk,Documentary,no register,Robert Leacock
headless body in topless bar,Crime,no register,James Bruce
braveheart,"Action, Drama, History, War","Icon Entertainment International, The Ladd Company, B.H. Finance C.V.",Mel Gibson
taxi driver,"Crime, Drama","Columbia Pictures Corporation, Italo/Judeo Productions, Bill/Phillips",Martin Scorsese
rumble in the bronx,"Crime, Action, Comedy, Thriller","New Line Cinema, Golden Harvest Company",Stanley Tong
before and after,"Drama, Thriller","Caravan Pictures, Hollywood Pictures",Barbet Schroeder
margaret's museum,Drama,"Téléfilm Canada, Skyline Films, Malofilm, Société de Développement des Entreprises Culturelles (SODEC), British Screen Productions, National Film Board of Canada (NFB), imX Communications, Glace Bay Pictures, Ciné Télé Action, Nova Scotia Film Development Corporation, Ranfilm",Mort Ransen
happiness is in the field,Comedy,"France 2 Cinéma, France 3 Cinéma, StudioCanal, Les Productions du Champ Poirier, Téléma Productions",Étienne Chatiliez
anne frank remembered,"Documentary, Drama, Foreign",no register,Jon Blair
the young poisoner's handbook,"Comedy, Crime, Drama",Bavaria Film and Television Fund,Benjamin Ross
if lucy fell,"Comedy, Romance","TriStar Pictures, Motion Picture Corporation of America (MPCA)",Eric Schaeffer
steal big steal little,"Comedy, Drama",Savoy Pictures,Andrew Davis
race the sun,"Action, Adventure, Comedy, Drama, Family",TriStar Pictures,Charles T. Kanganis
the boys of st. vincent,Drama,no register,John N. Smith
boomerang,"Comedy, Romance",Paramount Pictures,Reginald Hudlin
chungking express,"Drama, Comedy, Romance","Jet Tone Production, The Criterion Collection",Wong Kar-wai
the star maker,"Drama, Romance",Cecchi Gori Group Tiger Cinematografica,Giuseppe Tornatore
flirting with disaster,"Comedy, Romance",Miramax Films,David O. Russell
the neverending story iii: escape from fantasia,Fantasy,"Studio Babelsberg, Dieter Geissler Filmproduktion, Cinevox Filmproduktion GmbH, Warner Bros., Miramax",Peter MacDonald
the silences of the palace,Drama,"Canal Horizons, Mat Films, Cinétéléfilms",Moufida Tlatli
jupiter's wife,no register,no register,Michel Negroponte
pie in the sky,"Comedy, Romance",no register,Bryan Gordon
angela,"Comedy, Drama",no register,Rebecca Miller
frankie starlight,"Drama, Romance, War","Fine Line Features, Channel Four Films, Bórd Scannán na hÉireann, Canal+",Michael Lindsay-Hogg
jade,"Action, Thriller, Mystery, Romance",Paramount Pictures,William Friedkin
nueba yol,"Comedy, Drama, Romance","Cigua Films, D'Pelicula",Ángel Muñiz
sonic outlaws,"Music, Documentary",no register,Craig Baldwin
down periscope,Comedy,Twentieth Century Fox Film Corporation,David S. Ward
from the journals of jean seberg,Documentary,Couch Potatoe Productions,Mark Rappaport
man of the year,Comedy,no register,Dirk Shafer
the neon bible,Drama,"Channel Four Films, Academy, Mayfair Films, Iberoamerica Films",Terence Davies
target,no register,no register,Sandip Ray
up close & personal,"Drama, Romance","Cinergi Pictures Entertainment, Touchstone Pictures",Jon Avnet
the birdcage,Comedy,United Artists,Mike Nichols
virgin mary,Drama,no register,Jakov Sedlar
the brothers mcmullen,"Comedy, Drama, Romance",Fox Searchlight Pictures,Edward Burns
bad boys,"Action, Comedy, Crime, Thriller","Columbia Pictures, Don Simpson/Jerry Bruckheimer Films",Michael Bay
the amazing panda adventure,"Action, Adventure, Drama, Family",Warner Bros.,Christopher Cain
the basketball diaries,"Drama, Crime","New Line Cinema, Island Pictures",Scott Kalvert
an awfully big adventure,"Romance, Drama, Comedy","Fine Line Features, BBC, British Screen Productions, Portman Productions",Mike Newell
amateur,"Crime, Comedy, Drama, Thriller","Channel Four Films, Zenith Entertainment, American Playhouse, Union Générale Cinématographique (UGC), La Sept Cinéma, True Fiction Pictures",Hal Hartley
apollo 13,Drama,"Imagine Entertainment, Universal Pictures",Ron Howard
rob roy,Adventure,"United Artists, Talisman Productions",Michael Caton-Jones
the addiction,"Drama, Horror","October Films, Guild, Fastnet Films",Abel Ferrara
batman forever,"Action, Crime, Fantasy","Warner Bros., Polygram Filmed Entertainment",Joel Schumacher
belle de jour,"Drama, Romance","Paris Films Productions, Five Films, Robert et Raymond Hakim",Luis Buñuel
beyond rangoon,"Drama, Thriller","Columbia Pictures, Castle Rock Entertainment",John Boorman
blue in the face,Comedy,"Miramax Films, InterAL",Paul Auster
canadian bacon,"Action, Comedy",PolyGram Filmed Entertainment,Michael Moore
casper,"Fantasy, Comedy, Family","Universal Pictures, Amblin Entertainment, The Harvey Entertainment Company",Brad Silberling
clockers,"Mystery, Crime, Drama","Universal Pictures, 40 Acres & A Mule Filmworks",Spike Lee
congo,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller","Paramount Pictures, Kennedy/Marshall Company, The",Frank Marshall
crimson tide,"Action, Thriller, Drama","Hollywood Pictures, Don Simpson/Jerry Bruckheimer Films",Tony Scott
crumb,Documentary,Superior Pictures,Terry Zwigoff
desperado,"Thriller, Action, Crime","Columbia Pictures, Los Hooligans Productions",Robert Rodriguez
devil in a blue dress,"Drama, Mystery, Thriller","TriStar Pictures, Mundy Lane Entertainment",Carl Franklin
die hard: with a vengeance,"Action, Thriller","Twentieth Century Fox Film Corporation, Cinergi Pictures Entertainment",John McTiernan
the doom generation,"Action, Comedy, Crime, Drama","Why Not Productions, Desperate Pictures, Blurco, The Teen Angst Movie Company",Gregg Araki
feast of july,"Drama, Crime","Touchstone Pictures, Merchant Ivory Productions",Christopher Menaul
first knight,"Action, Adventure, Drama, Romance","Columbia Pictures Corporation, First Knight Productions",Jerry Zucker
free willy 2 - the adventure home,Adventure,"Regency Enterprises, Alcor Films, Canal+, Donner/Shuler-Donner Productions, Warner Bros.",Dwight H. Little
hackers,"Action, Crime, Thriller, Drama","United Artists, Suftley",Iain Softley
jeffrey,"Comedy, Drama, Romance","The Booking Office, Workin' Man Films",Christopher Ashley
johnny mnemonic,"Adventure, Action, Drama, Science Fiction, Thriller","TriStar Pictures, Alliance Communications Corporation",Robert Longo
judge dredd,Science Fiction,"Hollywood Pictures, Cinergi Pictures Entertainment",Danny Cannon
jury duty,"Comedy, Drama",TriStar Pictures,John Fortenberry
kids,"Drama, Crime",Miramax Films,Larry Clark
living in oblivion,"Drama, Comedy","JDI productions, Lemon Sky Productions",Tom DiCillo
lord of illusions,"Mystery, Horror, Thriller","United Artists, Seraphim Films",Clive Barker
love & human remains,"Comedy, Drama","The Ontario Film Development Corporation, First Choice Films, Atlantis Films, Telefilm Canada, Max Films Productions, Super Écran, Société Générale des Industries Culturelles du Québec (SOGIC)",Denys Arcand
mad love,"Drama, Family, Romance",Touchstone Pictures,Antonia Bird
mallrats,"Romance, Comedy","Universal Pictures, Gramercy Pictures, Alphaville Films, View Askew Productions",Kevin Smith
mighty morphin power rangers: the movie,"Action, Adventure, Science Fiction, Family, Fantasy","Twentieth Century Fox Film Corporation, Saban Entertainment, Toei Company",Bryan Spicer
moonlight and valentino,"Comedy, Drama, Romance","PolyGram Filmed Entertainment, Working Title Films",David Anspaugh
mute witness,"Thriller, Foreign","Comet Film Produktion GmbH, Avrora Media, Cobblestone Pictures",Anthony Waller
nadja,"Horror, Thriller",Kino Link Company,Michael Almereyda
the net,"Crime, Drama, Mystery, Thriller, Action",Columbia Pictures,Irwin Winkler
nine months,Comedy,"Twentieth Century Fox Film Corporation, 1492 Pictures",Chris Columbus
party girl,Comedy,Party Productions,Daisy von Scherler Mayer
the prophecy,"Fantasy, Horror, Thriller",Dimension Films,Gregory Widen
reckless,"Fantasy, Comedy, Drama","Playhouse International Pictures, American Playhouse, Samuel Goldwyn Company, The",Norman René
safe,Drama,"Killer Films, American Playhouse, Kardana Films, Chemical Films",Todd Haynes
the scarlet letter,"Drama, History, Romance","Hollywood Pictures, Cinergi Pictures Entertainment",Roland Joffé
showgirls,Drama,"United Artists, Le Studio Canal+, Carolco Pictures",Paul Verhoeven
smoke,"Comedy, Drama",Miramax Films,Wayne Wang
something to talk about,Comedy,"Spring Creek Productions, Warner Bros., Hawn / Sylbert Movie Company",Lasse Hallström
species,"Science Fiction, Horror, Action",Metro-Goldwyn-Mayer (MGM),Roger Donaldson
the stars fell on henrietta,Drama,"Malpaso Productions, Butcher's Run Films, Warner Bros.",James Keach
strange days,"Crime, Drama, Science Fiction, Thriller",Lightstorm Entertainment,Kathryn Bigelow
the umbrellas of cherbourg,"Drama, Romance","Beta Film, Madeleine Films, Parc Film",Jacques Demy
the tie that binds,Thriller,"Hollywood Pictures, PolyGram Filmed Entertainment, Interscope Communications",Wesley Strick
three wishes,"Drama, Fantasy",Savoy Pictures,Martha Coolidge
total eclipse,"Drama, Romance","Société Française de Production (SFP), FIT Productions, Portman Productions",Agnieszka Holland
"to wong foo, thanks for everything! julie newmar",Comedy,"Universal Pictures, Amblin Entertainment",Beeban Kidron
under siege 2: dark territory,"Action, Thriller","Regency Enterprises, Warner Bros., Seagal/Nasso Productions, Victor Company of Japan (JVC), Cutting Edge Films",Geoff Murphy
unstrung heroes,"Comedy, Drama, Family",Hollywood Pictures,Diane Keaton
unzipped,Documentary,no register,Douglas Keeve
a walk in the clouds,"Drama, Romance","Twentieth Century Fox Film Corporation, Zucker Brothers Productions",Alfonso Aráu
waterworld,"Adventure, Action","Universal Pictures, Gordon Company, Davis Entertainment, Licht/Mueller Film Corporation",Kevin Reynolds
white man's burden,Drama,"HBO, A BandApart, Rysher Entertainment",Desmond Nakano
wild bill,"Action, Western",United Artists,Walter Hill
the browning version,Drama,Paramount Pictures,Mike Figgis
bushwhacked,"Adventure, Action, Comedy, Crime, Family",Twentieth Century Fox Film Corporation,Greg Beeman
burnt by the sun,Drama,"Canal+, Studio Trite, Caméra One",Nikita Mikhalkov
before the rain,"Drama, War","PolyGram Audiovisuel, British Screen Productions",Milčo Mančevski
before sunrise,"Drama, Romance","Detour Film Production, Warner Bros.",Richard Linklater
billy madison,Comedy,Jack Giarraputo Productions,Tamra Davis
the babysitter,"Drama, Thriller",Spelling Films International,Guy Ferland
boys on the side,"Comedy, Drama","Regency Enterprises, Alcor Films, Canal+, New Regency Pictures, Hera Productions",Herbert Ross
the cure,"Drama, Family","Universal Pictures, Island World",Peter Horton
castle freak,"Thriller, Drama, Horror, Mystery",Full Moon Entertainment,Stuart Gordon
circle of friends,"Drama, Family, Romance","The Rank Organisation, Bórd Scannán na hÉireann, Lantana, Price Entertainment",Pat O'Connor
clerks,Comedy,"Miramax Films, View Askew Productions",Kevin Smith
don juan demarco,"Romance, Drama, Comedy","New Line Cinema, American Zoetrope",Jeremy Leven
disclosure,"Drama, Thriller, Crime, Mystery, Romance","Warner Bros., Baltimore Pictures",Barry Levinson
dream man,Thriller,"Keystone Pictures, Dream Man Productions Inc",René Bonnière
drop zone,"Action, Adventure, Thriller",Paramount Pictures,John Badham
destiny turns on the radio,"Crime, Comedy, Fantasy","Savoy Pictures, Rysher Entertainment",Jack Baran
death and the maiden,"Drama, Thriller, Mystery","Fine Line Features, Channel Four Films, Capitol Films, TF1 Films Production, Canal+, Flach Film, Les Films de l'Astre",Roman Polanski
dolores claiborne,"Crime, Drama, Mystery","Castle Rock Entertainment, Columbia Pictures Corporation",Taylor Hackford
dumb and dumber,Comedy,"New Line Cinema, Motion Picture Corporation of America (MPCA)",Peter Farrelly
eat drink man woman,"Comedy, Drama, Romance","Ang Lee Productions, Good Machine, Central Motion Pictures",Ang Lee
exotica,"Drama, Mystery","Miramax Films, Alliance Entertainment, Ego Film Arts",Atom Egoyan
exit to eden,"Thriller, Comedy, Crime, Romance",Savoy Pictures,Garry Marshall
ed wood,"Comedy, Drama, History",Touchstone Pictures,Tim Burton
french kiss,"Comedy, Romance","Twentieth Century Fox Film Corporation, PolyGram Filmed Entertainment, Working Title Films, Prufrock Pictures",Lawrence Kasdan
forget paris,"Comedy, Drama, Romance","Columbia Pictures, Castle Rock Entertainment",Billy Crystal
far from home: the adventures of yellow dog,"Action, Adventure, Drama, Family",Twentieth Century Fox Film Corporation,Phillip Borsos
a goofy movie,"Romance, Animation, Family, Comedy, Adventure",Walt Disney Pictures,Kevin Lima
hideaway,"Drama, Thriller",TriStar Pictures,Brett Leonard
fluke,"Drama, Family, Fantasy",Metro-Goldwyn-Mayer,Carlo Carlei
farinelli,"History, Drama","Italian International Film, Stéphan Films, MG",Gérard Corbiau
gordy,"Drama, Family, Fantasy",no register,Mark Lewis
gumby: the movie,"Fantasy, Animation, Science Fiction, Family",no register,Art Clokey
the glass shield,"Drama, Action, Thriller, Crime",Miramax Films,Charles Burnett
hoop dreams,Documentary,"Fine Line Features, Kartemquin Films",Steve James
heavenly creatures,"Drama, Fantasy","WingNut Films, Miramax Films, New Zealand Film Commission, Fontana Productions",Peter Jackson
houseguest,"Comedy, Family","Caravan Pictures, Hollywood Pictures",Randall Miller
immortal beloved,"Drama, Music, Romance","Columbia Pictures, Majestic Films International, Icon Entertainment International",Bernard Rose
heavyweights,"Comedy, Family, Drama","Walt Disney Pictures, Caravan Pictures",Steven Brill
the hunted,"Action, Thriller","Universal Pictures, Bregman/Baer Productions",J. F. Lawton
i.q.,"Comedy, Drama, Romance",Paramount Pictures,Fred Schepisi
interview with the vampire,"Horror, Romance",Geffen Pictures,Neil Jordan
jefferson in paris,"Drama, Romance","Merchant Ivory Productions, Touchstone Pictures",James Ivory
the jerky boys,"Comedy, Crime","Caravan Pictures, Touchstone Pictures",James Melkonian
junior,"Comedy, Family, Romance","Universal Pictures, Northern Lights Entertainment",Ivan Reitman
just cause,"Action, Drama, Mystery, Thriller","Fountainbridge Films, Warner Bros., Lee Rich Productions",Arne Glimcher
a kid in king arthur's court,"Adventure, Fantasy, Comedy, Science Fiction, Family","Walt Disney Pictures, Trimark Pictures",Michael Gottlieb
kiss of death,"Action, Crime, Drama, Thriller",Twentieth Century Fox Film Corporation,Barbet Schroeder
star wars,"Adventure, Action, Science Fiction","Lucasfilm, Twentieth Century Fox Film Corporation",George Lucas
little women,"Drama, Romance",Columbia Pictures,Gillian Armstrong
a little princess,"Drama, Family, Fantasy",Warner Bros.,Alfonso Cuarón
ladybird ladybird,Drama,"Channel Four Films, Parallax Pictures",Ken Loach
l'enfer,"Crime, Drama",MK2 Productions,Claude Chabrol
like water for chocolate,"Drama, Romance","Aviacsa, Cinevista",Alfonso Aráu
legends of the fall,"Adventure, Drama, Romance, War","Bedford Falls Productions, TriStar Pictures, Pangaea",Edward Zwick
major payne,"Adventure, Comedy, Family",Universal Pictures,Nick Castle
little odessa,"Action, Drama","Fine Line Features, New Line Cinema, Live Entertainment",James Gray
mi vida loca,"Crime, Drama","Channel Four Films, Cineville, Home Box Office (HBO), Showcase Entertaiment Inc.",Allison Anders
love affair,"Drama, Romance",Warner Bros.,Glenn Gordon Caron
losing isaiah,Drama,Paramount Pictures,Stephen Gyllenhaal
the madness of king george,"Comedy, Drama, History","Channel Four Films, Samuel Goldwyn Company, Close Call Films",Nicholas Hytner
mary shelley's frankenstein,"Drama, Horror, Science Fiction, Romance","American Zoetrope, TriStar Pictures",Kenneth Branagh
man of the house,"Action, Comedy, Family",Walt Disney Pictures,James Orr
mixed nuts,"Comedy, Drama, Romance",TriStar Pictures,Nora Ephron
milk money,"Comedy, Romance","Paramount Pictures, The Kennedy/Marshall Company",Richard Benjamin
miracle on 34th street,"Fantasy, Drama, Family",Twentieth Century Fox Film Corporation,Les Mayfield
miami rhapsody,"Comedy, Romance",Hollywood Pictures,David Frankel
my family,"Comedy, Drama","American Zoetrope, American Playhouse, Majestic Films International, Newcomb Productions",Gregory Nava
murder in the first,"Crime, Drama","Wolper Organization, Warner Bros.",Marc Rocco
nobody's fool,"Drama, Comedy","Paramount Pictures, Capella International, Cinehaus",Robert Benton
nell,"Drama, Thriller","Twentieth Century Fox Film Corporation, Egg Pictures, PolyGram Filmed Entertainment",Michael Apted
new jersey drive,"Crime, Drama",40 Acres & A Mule Filmworks,Nick Gomez
new york cop,"Action, Thriller, Crime, Drama","TOEI, Distant Justice Joint Venture",Tōru Murakawa
beyond bedlam,Horror,Metrodome Films,Vadim Jean
nemesis 2 - nebula,"Science Fiction, Action, Thriller","Filmwerks, Imperial Entertainment",Albert Pyun
nina takes a lover,"Drama, Romance",Triumph Films,Alan Jacobs
natural born killers,"Crime, Thriller, Drama","Regency Enterprises, Alcor Films, Ixtlan, Warner Bros., New Regency Pictures, J D Productions",Oliver Stone
only you,"Comedy, Drama, Romance",TriStar Pictures,Norman Jewison
once were warriors,Drama,"Avalon Studios, New Zealand Film Commission, New Zealand On Air",Lee Tamahori
poison ivy ii: lily,"Drama, Romance, Thriller","New Line Cinema, CineTel Pictures, MG Entertainment",Anne Goursaud
outbreak,"Action, Drama, Science Fiction, Thriller","Kopelson Entertainment, Punch Productions, Warner Bros., Arnold Kopelson Productions",Wolfgang Petersen
leon: the professional,"Thriller, Crime, Drama","Columbia Pictures, Gaumont",Luc Besson
the perez family,"Comedy, Drama, Romance","Samuel Goldwyn Company, The",Mira Nair
a pyromaniac's love story,"Comedy, Drama, Romance",Hollywood Pictures,Joshua Brand
pulp fiction,"Thriller, Crime","Miramax Films, A Band Apart, Jersey Films",Quentin Tarantino
panther,Drama,"Polygram Filmed Entertainment, Gramercy Pictures (I), MVP Films",Mario Van Peebles
